reaction_id	min_flux	max_flux
B_caecimuris_I48_TP_cpd00009_B_caecimuris_I48_e0	-2.000000	-0.273702
B_caecimuris_I48_TP_cpd00030_B_caecimuris_I48_e0	-0.002205	-0.001984
B_caecimuris_I48_TP_cpd00034_B_caecimuris_I48_e0	-0.002205	-0.001984
B_caecimuris_I48_TP_cpd00048_B_caecimuris_I48_e0	-0.002205	-0.001984
B_caecimuris_I48_TP_cpd00118_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00149_B_caecimuris_I48_e0	-0.002205	-0.001984
B_caecimuris_I48_TP_cpd00179_B_caecimuris_I48_e0	-0.033333	0.000000
B_caecimuris_I48_TP_cpd00224_B_caecimuris_I48_e0	0.000000	0.033333
B_caecimuris_I48_TP_cpd00244_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00264_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00268_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd10516_B_caecimuris_I48_e0	-0.033333	-0.001984
B_caecimuris_I48_TP_cpd00067_B_caecimuris_I48_e0	-12.812430	249.975034
B_caecimuris_I48_TP_cpd00092_B_caecimuris_I48_e0	0.000000	4.646188
B_caecimuris_I48_TP_cpd00367_B_caecimuris_I48_e0	0.000000	0.104385
B_caecimuris_I48_TP_cpd00184_B_caecimuris_I48_e0	0.000000	4.646188
B_caecimuris_I48_TP_cpd00311_B_caecimuris_I48_e0	0.000000	2.828793
B_caecimuris_I48_TP_cpd00130_B_caecimuris_I48_e0	0.000000	100.048911
B_caecimuris_I48_TP_cpd00971_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00137_B_caecimuris_I48_e0	0.000000	72.249546
B_caecimuris_I48_TP_cpd00041_B_caecimuris_I48_e0	-1.333333	7.959043
B_caecimuris_I48_TP_cpd00027_B_caecimuris_I48_e0	-0.666667	0.000000
B_caecimuris_I48_TP_cpd00084_B_caecimuris_I48_e0	-0.033333	-0.024724
B_caecimuris_I48_TP_cpd00023_B_caecimuris_I48_e0	-3.000000	6.292376
B_caecimuris_I48_TP_cpd00119_B_caecimuris_I48_e0	-0.027184	3.072993
B_caecimuris_I48_TP_cpd00051_B_caecimuris_I48_e0	-0.666667	1.803460
B_caecimuris_I48_TP_cpd00039_B_caecimuris_I48_e0	-0.098467	4.557567
B_caecimuris_I48_TP_cpd00246_B_caecimuris_I48_e0	0.000000	3.535991
B_caecimuris_I48_TP_cpd00182_B_caecimuris_I48_e0	0.000000	2.828793
B_caecimuris_I48_TP_cpd00013_B_caecimuris_I48_e0	0.000000	9.292376
B_caecimuris_I48_TP_cpd00232_B_caecimuris_I48_e0	0.000000	9.292376
B_caecimuris_I48_TP_cpd00029_B_caecimuris_I48_e0	-0.333333	230.770843
B_caecimuris_I48_TP_cpd04098_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00132_B_caecimuris_I48_e0	0.000000	4.646188
B_caecimuris_I48_TP_cpd00063_B_caecimuris_I48_e0	-0.002205	-0.001984
B_caecimuris_I48_TP_cpd01012_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00058_B_caecimuris_I48_e0	-0.002205	-0.001984
B_caecimuris_I48_TP_cpd10515_B_caecimuris_I48_e0	-0.033333	0.027217
B_caecimuris_I48_TP_cpd00047_B_caecimuris_I48_e0	0.000000	210.996322
B_caecimuris_I48_TP_cpd00106_B_caecimuris_I48_e0	0.000000	115.739193
B_caecimuris_I48_TP_cpd00108_B_caecimuris_I48_e0	-0.033333	49.870678
B_caecimuris_I48_TP_cpd00276_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00222_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00080_B_caecimuris_I48_e0	0.000000	1.726298
