reaction_id	flux
Prevotella_melaninogenica_ATCC_25845__1P4H2CBXLAH_Prevotella_melaninogenica_ATCC_25845_c	0.000000
Prevotella_melaninogenica_ATCC_25845__23PDE2_Prevotella_melaninogenica_ATCC_25845_c	0.000000
Prevotella_melaninogenica_ATCC_25845__23PDE4_Prevotella_melaninogenica_ATCC_25845_c	0.000000
Prevotella_melaninogenica_ATCC_25845__23PDE7_Prevotella_melaninogenica_ATCC_25845_c	0.000000
Prevotella_melaninogenica_ATCC_25845__23PDE9_Prevotella_melaninogenica_ATCC_25845_c	0.000000
Prevotella_melaninogenica_ATCC_25845__26DAPLLAT_Prevotella_melaninogenica_ATCC_25845_c	-23.436744
Prevotella_melaninogenica_ATCC_25845__26DAPt2r	0.502050
Prevotella_melaninogenica_ATCC_25845__2DDPENTHL_Prevotella_melaninogenica_ATCC_25845_c	0.000000
Prevotella_melaninogenica_ATCC_25845__2DHPL_Prevotella_melaninogenica_ATCC_25845_c	0.000000
Prevotella_melaninogenica_ATCC_25845__2DMMQ8abc	0.062157
Prevotella_melaninogenica_ATCC_25845__2MBCOATA_Prevotella_melaninogenica_ATCC_25845_c	1.709914
Prevotella_melaninogenica_ATCC_25845__2OBUTt2r	0.000000
Prevotella_melaninogenica_ATCC_25845__3HAD10M12_Prevotella_melaninogenica_ATCC_25845_c	1.709914
Prevotella_melaninogenica_ATCC_25845__3HAD11M12_Prevotella_melaninogenica_ATCC_25845_c	1.709914
Prevotella_melaninogenica_ATCC_25845__3HAD12M14_Prevotella_melaninogenica_ATCC_25845_c	1.709914
Prevotella_melaninogenica_ATCC_25845__3HAD13M14_Prevotella_melaninogenica_ATCC_25845_c	1.709914
Prevotella_melaninogenica_ATCC_25845__3HAD14M16_Prevotella_melaninogenica_ATCC_25845_c	1.709914
Prevotella_melaninogenica_ATCC_25845__3HAD15M16_Prevotella_melaninogenica_ATCC_25845_c	1.709914
Prevotella_melaninogenica_ATCC_25845__3HAD4M6_Prevotella_melaninogenica_ATCC_25845_c	1.709914
Prevotella_melaninogenica_ATCC_25845__3HAD5M6_Prevotella_melaninogenica_ATCC_25845_c	1.709914
Prevotella_melaninogenica_ATCC_25845__3HAD6M8_Prevotella_melaninogenica_ATCC_25845_c	1.709914
Prevotella_melaninogenica_ATCC_25845__3HAD7M8_Prevotella_melaninogenica_ATCC_25845_c	1.709914
Prevotella_melaninogenica_ATCC_25845__3HAD8M10_Prevotella_melaninogenica_ATCC_25845_c	1.709914
Prevotella_melaninogenica_ATCC_25845__3HAD9M10_Prevotella_melaninogenica_ATCC_25845_c	1.709914
Prevotella_melaninogenica_ATCC_25845__3OAR100_Prevotella_melaninogenica_ATCC_25845_c	0.000000
Prevotella_melaninogenica_ATCC_25845__3OAR10M11_Prevotella_melaninogenica_ATCC_25845_c	0.000000
Prevotella_melaninogenica_ATCC_25845__3OAR10M12_Prevotella_melaninogenica_ATCC_25845_c	1.709914
Prevotella_melaninogenica_ATCC_25845__3OAR11M12_Prevotella_melaninogenica_ATCC_25845_c	1.709914
Prevotella_melaninogenica_ATCC_25845__3OAR120_Prevotella_melaninogenica_ATCC_25845_c	0.000000
Prevotella_melaninogenica_ATCC_25845__3OAR12M13_Prevotella_melaninogenica_ATCC_25845_c	0.000000
Prevotella_melaninogenica_ATCC_25845__3OAR12M14_Prevotella_melaninogenica_ATCC_25845_c	1.709914
Prevotella_melaninogenica_ATCC_25845__3OAR13M14_Prevotella_melaninogenica_ATCC_25845_c	1.709914
Prevotella_melaninogenica_ATCC_25845__3OAR140_Prevotella_melaninogenica_ATCC_25845_c	2.008201
Prevotella_melaninogenica_ATCC_25845__3OAR14M15_Prevotella_melaninogenica_ATCC_25845_c	0.000000
Prevotella_melaninogenica_ATCC_25845__3OAR14M16_Prevotella_melaninogenica_ATCC_25845_c	1.709914
Prevotella_melaninogenica_ATCC_25845__3OAR15M16_Prevotella_melaninogenica_ATCC_25845_c	1.709914
Prevotella_melaninogenica_ATCC_25845__3OAR160_Prevotella_melaninogenica_ATCC_25845_c	0.000000
Prevotella_melaninogenica_ATCC_25845__3OAR180_Prevotella_melaninogenica_ATCC_25845_c	0.000000
Prevotella_melaninogenica_ATCC_25845__3OAR40_Prevotella_melaninogenica_ATCC_25845_c	0.000000
Prevotella_melaninogenica_ATCC_25845__3OAR4M5_Prevotella_melaninogenica_ATCC_25845_c	0.000000
Prevotella_melaninogenica_ATCC_25845__3OAR4M6_Prevotella_melaninogenica_ATCC_25845_c	1.709914
Prevotella_melaninogenica_ATCC_25845__3OAR5M6_Prevotella_melaninogenica_ATCC_25845_c	1.709914
Prevotella_melaninogenica_ATCC_25845__3OAR60_Prevotella_melaninogenica_ATCC_25845_c	0.000000
Prevotella_melaninogenica_ATCC_25845__3OAR6M7_Prevotella_melaninogenica_ATCC_25845_c	0.000000
