reaction_id	min_flux	max_flux
dv_TP_H2_TP_dv_External_Species	-353.182659	39.428060
dv_TP_Ac_TP_dv_External_Species	3.721467	19.677175
dv_TP_CO2_TP_dv_External_Species	-392.701304	-0.042069
dv_TP_Form_TP_dv_External_Species	0.000000	392.479360
dv_TP_SO4_TP_dv_External_Species	0.000000	0.000000
dv_TP_H2S_TP_dv_External_Species	0.000000	0.000000
dv_TP_Eth_TP_dv_External_Species	-19.987217	-3.780175
dv_TP_Lac_TP_dv_External_Species	0.000000	0.000000
dv_TP_Pyr_TP_dv_External_Species	0.000000	0.000000
EX_H2_EX_medium	0.000000	0.000000
EX_Ac_EX_medium	0.000000	19.677175
EX_CO2_EX_medium	-10.757549	3.446761
EX_Form_EX_medium	0.000000	0.000000
EX_SO4_EX_medium	0.000000	0.000000
EX_H2S_EX_medium	0.000000	0.000000
EX_Eth_EX_medium	-19.987217	-3.780175
EX_Lac_EX_medium	0.000000	0.000000
EX_Pyr_EX_medium	0.000000	0.000000
dv_to_community_biomass	0.003871	0.020479
mb_TP_H2_TP_mb_External_Species	-39.428060	0.000000
mb_TP_CO2_TP_mb_External_Species	-10.535220	8.274513
mb_TP_CH4_TP_mb_External_Species	0.000000	12.331151
mb_TP_Ac_TP_mb_External_Species	-8.901099	0.000000
mb_TP_MetOH_TP_mb_External_Species	0.000000	0.000000
mb_TP_BM_tot_mb_External_Species	0.000000	0.000000
EX_CH4_EX_medium	3.595604	12.336025
EX_MetOH_EX_medium	0.000000	0.000000
EX_BM_tot_medium	0.000000	0.000000
mb_to_community_biomass	0.000000	0.048129
mh_TP_H2_TP_mh_External_Species	-39.253153	367.148886
mh_TP_CO2_TP_mh_External_Species	-10.425085	385.751942
mh_TP_CH4_TP_mh_External_Species	0.000000	9.123035
mh_TP_Form_TP_mh_External_Species	-392.479360	0.000000
mh_TP_BM_tot_mh_External_Species	0.000000	0.000000
mh_to_community_biomass	0.000000	0.035479
community_biomass	0.052000	0.052000
