reaction_id	min_flux	max_flux
aw_TP_Glc_TP_aw_External_Species	-0.305556	0.000000
aw_TP_H2_TP_aw_External_Species	-2.166667	13.699193
aw_TP_Eth_TP_aw_External_Species	-1.000000	0.000000
aw_TP_Ac_TP_aw_External_Species	0.000000	3.966465
aw_TP_CO2_TP_aw_External_Species	-2.079522	6.936742
aw_TP_Lac_TP_aw_External_Species	-0.333333	0.000000
aw_TP_Fruc_TP_aw_External_Species	0.000000	0.000000
aw_TP_Form_TP_aw_External_Species	-2.166667	0.000000
aw_TP_BM_tot_aw_External_Species	0.000000	0.000000
aw_TP_MetOH_TP_aw_External_Species	0.000000	0.000000
EX_Glc_EX_medium	-4.222222	-0.578638
EX_H2_EX_medium	0.000000	0.000000
EX_Eth_EX_medium	0.000000	27.419091
EX_Ac_EX_medium	0.000000	14.988726
EX_CO2_EX_medium	-1.262165	47.802802
EX_Lac_EX_medium	0.000000	6.063202
EX_Fruc_EX_medium	0.000000	0.000000
EX_Form_EX_medium	0.000000	0.000000
EX_BM_tot_medium	0.000000	0.000000
EX_MetOH_EX_medium	0.000000	0.000000
aw_to_community_biomass	0.001537	0.001707
ca_TP_Glc_TP_ca_External_Species	-1.416667	-0.428982
ca_TP_Form_TP_ca_External_Species	0.000000	2.816480
ca_TP_Eth_TP_ca_External_Species	0.000000	1.975370
ca_TP_H2_TP_ca_External_Species	0.000000	4.791878
ca_TP_Ac_TP_ca_External_Species	-1.974451	1.976289
ca_TP_Acon_TP_ca_External_Species	0.000000	1.975370
ca_TP_Butol_TP_ca_External_Species	0.000000	0.987685
ca_TP_Buty_TP_ca_External_Species	0.416883	1.404568
ca_TP_CO2_TP_ca_External_Species	0.000153	4.792003
ca_TP_Lac_TP_ca_External_Species	0.000000	1.975370
ca_TP_Glyc_TP_ca_External_Species	0.000000	0.000000
ca_TP_BM_tot_ca_External_Species	0.000000	0.000000
EX_Acon_EX_medium	0.000000	1.975370
EX_Butol_EX_medium	0.000000	0.987685
EX_Buty_EX_medium	0.000000	0.987685
EX_Glyc_EX_medium	0.000000	0.000000
ca_to_community_biomass	0.001537	0.001707
dv_TP_H2_TP_dv_External_Species	-111.111111	11.117260
dv_TP_Ac_TP_dv_External_Species	-2.638479	5.555556
dv_TP_CO2_TP_dv_External_Species	-111.111111	30.977805
dv_TP_Form_TP_dv_External_Species	0.000000	111.111111
dv_TP_SO4_TP_dv_External_Species	-6.854773	0.000000
dv_TP_H2S_TP_dv_External_Species	0.000000	6.854773
dv_TP_Eth_TP_dv_External_Species	-5.581421	25.415671
dv_TP_Lac_TP_dv_External_Species	-6.063202	0.000000
dv_TP_Pyr_TP_dv_External_Species	-30.994506	0.000000
EX_SO4_EX_medium	-7.093460	-0.183324
EX_H2S_EX_medium	0.183324	7.093460
EX_Pyr_EX_medium	-30.994506	0.000000
dv_to_community_biomass	0.001537	0.001707
ec_TP_Glucn_TP_ec_External_Species	0.000000	0.000000
ec_TP_Ac_TP_ec_External_Species	0.000000	2.044362
ec_TP_Succ_TP_ec_External_Species	0.000000	3.504647
ec_TP_Glyc_TP_ec_External_Species	0.000000	0.000000
ec_TP_Glc_TP_ec_External_Species	-2.055556	-0.149657
ec_TP_Lac_TP_ec_External_Species	0.000000	4.087832
ec_TP_Eth_TP_ec_External_Species	0.000000	4.087832
ec_TP_O2_TP_ec_External_Species	0.000000	0.000000
ec_TP_CO2_TP_ec_External_Species	-2.452190	4.088876
ec_TP_Form_TP_ec_External_Species	0.000000	4.912003
EX_Glucn_EX_medium	0.000000	0.000000
EX_Succ_EX_medium	0.000000	5.581824
EX_O2_EX_medium	0.000000	0.000000
ec_to_community_biomass	0.001537	0.001707
mb_TP_H2_TP_mb_External_Species	-6.831280	0.000000
mb_TP_CO2_TP_mb_External_Species	-1.744385	1.671255
mb_TP_CH4_TP_mb_External_Species	0.261954	1.666667
mb_TP_Ac_TP_mb_External_Species	-1.707820	0.000000
mb_TP_MetOH_TP_mb_External_Species	0.000000	0.000000
mb_TP_BM_tot_mb_External_Species	0.000000	0.000000
EX_CH4_EX_medium	0.719850	3.333333
mb_to_community_biomass	0.001537	0.001707
mm_TP_H2_TP_mm_External_Species	-6.815712	109.145389
mm_TP_CO2_TP_mm_External_Species	-1.736954	110.589957
mm_TP_CH4_TP_mm_External_Species	0.457895	1.666667
mm_TP_Form_TP_mm_External_Species	-111.111111	0.000000
mm_TP_BM_tot_mm_External_Species	0.000000	0.000000
mm_to_community_biomass	0.001537	0.001707
pf_TP_Glucn_TP_pf_External_Species	0.000000	0.000000
pf_TP_Ac_TP_pf_External_Species	0.000000	1.101507
pf_TP_Succ_TP_pf_External_Species	0.000000	2.073451
pf_TP_Glyc_TP_pf_External_Species	0.000000	0.000000
pf_TP_Glc_TP_pf_External_Species	-0.444444	0.000000
pf_TP_Lac_TP_pf_External_Species	-1.222222	0.000000
pf_TP_Eth_TP_pf_External_Species	-1.222222	0.000000
pf_TP_O2_TP_pf_External_Species	0.000000	0.000000
pf_TP_CO2_TP_pf_External_Species	-2.170179	0.898992
pf_TP_Form_TP_pf_External_Species	0.000000	0.000000
pf_TP_Prop_TP_pf_External_Species	0.169915	2.837980
pf_TP_Propol_TP_pf_External_Species	0.000000	0.000000
EX_Prop_EX_medium	0.000000	2.668065
EX_Propol_EX_medium	0.000000	0.000000
pf_to_community_biomass	0.001537	0.001707
sf_TP_H2_TP_sf_External_Species	0.000000	0.217778
sf_TP_Form_TP_sf_External_Species	0.000000	0.217778
sf_TP_CO2_TP_sf_External_Species	0.277126	0.496742
sf_TP_Ac_TP_sf_External_Species	0.000000	0.109808
sf_TP_Succ_TP_sf_External_Species	0.000000	0.007510
sf_TP_Fum_TP_sf_External_Species	0.000000	0.000000
sf_TP_Prop_TP_sf_External_Species	-0.186667	-0.169915
sf_TP_H2S_TP_sf_External_Species	0.183324	0.293132
sf_TP_SO4_TP_sf_External_Species	-0.293132	-0.183324
EX_Fum_EX_medium	0.000000	0.000000
sf_to_community_biomass	0.001537	0.001707
sw_TP_BM_tot_sw_External_Species	0.000000	0.000000
sw_TP_Buty_TP_sw_External_Species	-0.472222	-0.416883
sw_TP_Crot_TP_sw_External_Species	0.000000	0.000000
sw_TP_H2_TP_sw_External_Species	-109.912149	111.111111
sw_TP_Ac_TP_sw_External_Species	0.808814	0.919493
